Action,ObjectId,DisplayName,Owner,Pbl,Rule,Comment
Add,,ProcGrps-UnitTest01,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest02,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest03,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest04,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest05,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest06,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest07,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest08,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest09,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
Add,,ProcGrps-UnitTest10,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Successful Add
