Action,ObjectId,DisplayName,Owner,Pbl,Rule,Comment
Update,,ProcGrps-UnitTest02,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - blank ObjectId on Update
Update,c3b93290-4964-4d04-ba80-157b2157bdcf,,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - blank DisplayName on Update
Update,c6cd7175-2d1f-4693-b75a-01d0ff960022,ProcGrps-UnitTest03,,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - blank Owner on Update
Update,b1d218ac-f7ba-495e-832e-77294fca8ab6,ProcGrps-UnitTest04,AdeleV@bossedev.onmicrosoft.com,,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Error - blank Description on Update
Update,c18d9d4f-2ee2-4a4c-9519-c220783ee85b,ProcGrps-UnitTest05,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,,Error - blank Rule on Update
Update,40d7e3fe-9f26-4f50-9801-17a9b759f3a0,ProcGrps-UnitTest06,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",No change on an Update
Update,a218a255-5407-49ae-a33b-d7a0e7ed4235,ProcGrps-UnitTest07-Updated,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Display Name change on an Update
Update,534d5621-3924-4fd9-850a-49c50e80f09c,ProcGrps-UnitTest08,AdeleV@bossedev.onmicrosoft.com,Updated - Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Description change on an Update
Update,936bbc20-2e2b-49b4-a13a-407875d68258,ProcGrps-UnitTest09,AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Manager"" -and user.State -eq ""NC""",Rule change on an Update
Update,7b066744-9faa-4885-901a-de91fd76aa32,ProcGrps-UnitTest10,mbosse@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Replace one owner with one new owner
Update,b3cd071d-88d6-46a4-af89-618f46092bb5,ProcGrps-UnitTest11,mbosse@bossedev.onmicrosoft.com;Chris.Stratmann@bossedev.onmicrosoft.com;dave.raspberry@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Replace one owner with all new multiple owners
Update,ecf204c8-25f0-47b9-84e9-ddbed43270b6,ProcGrps-UnitTest12,mbosse@bossedev.onmicrosoft.com;Chris.Stratmann@bossedev.onmicrosoft.com;dave.raspberry@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Replace mulitple owners with all new multiple owners
Update,496c9674-398a-4bd2-93a9-0c4883799f07,ProcGrps-UnitTest13,AlexW@bossedev.onmicrosoft.com;GradyA@bossedev.onmicrosoft.com;dave.raspberry@bossedev.onmicrosoft.com;Chris.Stratmann@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Replace only some existing owners
Update,e2ef2ff4-a5b4-47f1-b57a-8abba387b870,ProcGrps-UnitTest14,GradyA@bossedev.onmicrosoft.com;DiegoS@bossedev.onmicrosoft.com;AlexW@bossedev.onmicrosoft.com;AdeleV@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,"user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq ""Engineer"" -and user.State -eq ""NC""",Same list of mulitple owners but different order
Update,69a2674e-037a-45a5-8cbb-4cd81be33603,ProcGrps-UnitTest15,AdeleV@bossedev.onmicrosoft.com;AlexW@bossedev.onmicrosoft.com;DiegoS@bossedev.onmicrosoft.com;GradyA@bossedev.onmicrosoft.com,Testing the group processing script using Graph module instead of Azure AD module,user.extension_c8de765355584cc68e0038bd01a91508_jobGroup -eq 'Manager' -and user.State -eq 'NC',Error - invalid char in rule on Update
